#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	FEATURE_TYPE	GENE_MODEL_STATUS	GENUS	GO_BIOLOGICAL_PROCESS	GO_MOLECULAR_FUNCTION	NAME	SPECIES	SYMBOL
FBgn0020309	FBgn0020309	CG14938	SO0000010:protein_coding_gene	Current	Drosophila	imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype inferred from genetic interaction with if inferred from genetic interaction with mys <newline> cell adhesion ; GO:0007155 | inferred from mutant phenotype <newline> positive regulation of mitotic cell cycle ; GO:0045931 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from mutant phenotype <newline> negative regulation of Wnt signaling pathway ; GO:0030178 | inferred from genetic interaction with arm inferred from genetic interaction with Axn <newline> regulation of chromatin silencing ; GO:0031935 | inferred from mutant phenotype <newline> heterochromatin organization involved in chromatin silencing ; GO:0070868 | inferred from mutant phenotype	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087	crooked legs	melanogaster	crol
FBgn0022935	FBgn0022935	CG10269	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR012934 <newline> DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN001227002 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	D19A	melanogaster	D19A
FBgn0022699	FBgn0022699	CG10270	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR012934 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN001227002 <newline> DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	D19B	melanogaster	D19B
FBgn0263239	FBgn0263239	CG12029	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of dendrite morphogenesis ; GO:0050775 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from sequence or structural similarity with MGI:MGI:1338056 <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> positive regulation of dendrite extension ; GO:1903861 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> negative regulation of microtubule depolymerization ; GO:0007026 | inferred from mutant phenotype	DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with MGI:MGI:1338056 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay	dendritic arbor reduction 1	melanogaster	dar1
FBgn0262636	FBgn0262636	CG2052	SO0000010:protein_coding_gene	Current	Drosophila	neuron projection development ; GO:0031175 | inferred from mutant phenotype <newline> generation of neurons ; GO:0048699 | inferred from mutant phenotype <newline> adult locomotory behavior ; GO:0008344 | inferred from mutant phenotype <newline> mushroom body development ; GO:0016319 | inferred from mutant phenotype <newline> positive regulation of female receptivity ; GO:0045925 | inferred from mutant phenotype	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN001227969 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN001227969	datilografo	melanogaster	dati
FBgn0000459	FBgn0000459	CG9908	SO0000010:protein_coding_gene	Current	Drosophila	photoreceptor cell maintenance ; GO:0045494 | non-traceable author statement <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from mutant phenotype <newline> brain development ; GO:0007420 | inferred from mutant phenotype <newline> leg disc proximal/distal pattern formation ; GO:0007479 | inferred from mutant phenotype <newline> circadian rhythm ; GO:0007623 | non-traceable author statement <newline> locomotor rhythm ; GO:0045475 | inferred from mutant phenotype <newline> eclosion rhythm ; GO:0008062 | inferred from mutant phenotype <newline> regulation of gene expression ; GO:0010468 | inferred from mutant phenotype <newline> antennal development ; GO:0007469 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> DNA binding ; GO:0003677 | inferred from direct assay	disconnected	melanogaster	disco
FBgn0285879	FBgn0285879	CG32577	SO0000010:protein_coding_gene	Current	Drosophila	imaginal disc-derived wing expansion ; GO:0048526 | inferred from mutant phenotype <newline> epithelial to mesenchymal transition ; GO:0001837 | inferred from mutant phenotype <newline> delamination ; GO:0060232 | inferred from mutant phenotype <newline> wing disc morphogenesis ; GO:0007472 | inferred from mutant phenotype	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087 <newline> molecular_function ; GO:0003674 | no biological data available	disco-related	melanogaster	disco-r
FBgn0036179	FBgn0036179	CG7368	SO0000010:protein_coding_gene	Current	Drosophila	regulation of histone methylation ; GO:0031060 | inferred from biological aspect of ancestor with PANTHER:PTN001228570 <newline> regulation of gene expression ; GO:0010468 | inferred from biological aspect of ancestor with PANTHER:PTN001228570 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from sequence or structural similarity with UniProtKB:Q03081	RNA polymerase II core promoter sequence-specific DNA binding ; GO:0000979 | inferred from biological aspect of ancestor with PANTHER:PTN001228570	-	melanogaster	CG7368
FBgn0031375	FBgn0031375	CG31670	SO0000010:protein_coding_gene	Current	Drosophila	medulla oblongata morphogenesis ; GO:0021579 | inferred from mutant phenotype <newline> axonogenesis involved in innervation ; GO:0060385 | inferred from mutant phenotype <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:P51023 <newline> negative regulation of gene expression ; GO:0010629 | inferred from mutant phenotype <newline> regulation of neurogenesis ; GO:0050767 | inferred from mutant phenotype <newline> photoreceptor cell axon guidance ; GO:0072499 | inferred from mutant phenotype <newline> positive regulation of netrin-activated signaling pathway ; GO:1902843 | inferred from mutant phenotype <newline> cell dedifferentiation ; GO:0043697 | inferred from genetic interaction with UniProtKB:P07207 <newline> negative regulation of neuroblast proliferation ; GO:0007406 | inferred from genetic interaction with UniProtKB:P25439 inferred from genetic interaction with UniProtKB:Q24090 inferred from genetic interaction with UniProtKB:Q9VNC2 <newline> cell dedifferentiation ; GO:0043697 | inferred from genetic interaction with UniProtKB:P29617 <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from mutant phenotype <newline> negative regulation of neuroblast proliferation ; GO:0007406 | inferred from mutant phenotype <newline> cell dedifferentiation ; GO:0043697 | inferred from genetic interaction with UniProtKB:P25439 inferred from genetic interaction with UniProtKB:Q24090 inferred from genetic interaction with UniProtKB:Q9VNC2 <newline> negative regulation of gene expression ; GO:0010629 | inferred from direct assay <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from mutant phenotype inferred from genetic interaction with UniProtKB:P07207 inferred from genetic interaction with UniProtKB:P07207,UniProtKB:P51023 inferred from genetic interaction with UniProtKB:P51023 <newline> stem cell population maintenance ; GO:0019827 | inferred from mutant phenotype <newline> positive regulation of neuron differentiation ; GO:0045666 | inferred from genetic interaction with IntS8 <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:P29617 <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:M9PF84 inferred from genetic interaction with UniProtKB:Q01070 inferred from genetic interaction with UniProtKB:Q26263 <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> axon target recognition ; GO:0007412 | inferred from mutant phenotype	sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> transcription regulatory region DNA binding ; GO:0044212 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:P25439 inferred from physical interaction with UniProtKB:Q24090 inferred from physical interaction with UniProtKB:Q7KTS4 inferred from physical interaction with UniProtKB:Q9VYG2	earmuff	melanogaster	erm
FBgn0001981	FBgn0001981	CG3758	SO0000010:protein_coding_gene	Current	Drosophila	intestinal stem cell homeostasis ; GO:0036335 | inferred from mutant phenotype <newline> epithelial cell migration, open tracheal system ; GO:0007427 | inferred from mutant phenotype <newline> negative regulation of DNA endoreduplication ; GO:0032876 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> cell fate specification ; GO:0001708 | inferred from mutant phenotype <newline> cell fate determination ; GO:0001709 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from genetic interaction with sc <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from mutant phenotype <newline> germ-line stem cell population maintenance ; GO:0030718 | inferred from mutant phenotype <newline> somatic stem cell population maintenance ; GO:0035019 | inferred from mutant phenotype <newline> regulation of compound eye pigmentation ; GO:0048076 | inferred from mutant phenotype <newline> asymmetric neuroblast division ; GO:0055059 | inferred from genetic interaction with wor, sna <newline> gravitaxis ; GO:0042332 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> regulation of neural precursor cell proliferation ; GO:2000177 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype inferred from genetic interaction with UniProtKB:P08044 <newline> maintenance of imaginal histoblast diploidy ; GO:0007489 | inferred from mutant phenotype <newline> wing disc development ; GO:0035220 | inferred from mutant phenotype <newline> genital disc development ; GO:0035215 | inferred from mutant phenotype <newline> response to nicotine ; GO:0035094 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay <newline> branch fusion, open tracheal system ; GO:0035147 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype	DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from direct assay <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from genetic interaction with sc <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay	escargot	melanogaster	esg
FBgn0004652	FBgn0004652	CG14307	SO0000010:protein_coding_gene	Current	Drosophila	male courtship behavior, veined wing vibration ; GO:0016545 | inferred from mutant phenotype <newline> male courtship behavior ; GO:0008049 | traceable author statement <newline> male courtship behavior ; GO:0008049 | inferred from mutant phenotype <newline> mating behavior, sex discrimination ; GO:0048047 | traceable author statement <newline> aggressive behavior ; GO:0002118 | inferred from mutant phenotype <newline> mating behavior, sex discrimination ; GO:0048047 | inferred from mutant phenotype <newline> multicellular organism development ; GO:0007275 | inferred from mutant phenotype <newline> mating behavior, sex discrimination ; GO:0048047 | inferred from mutant phenotype inferred from genetic interaction with Tbh <newline> male courtship behavior ; GO:0008049 | non-traceable author statement <newline> muscle organ development ; GO:0007517 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | traceable author statement <newline> sex determination ; GO:0007530 | inferred from mutant phenotype <newline> male sex differentiation ; GO:0046661 | traceable author statement <newline> male courtship behavior, orientation prior to leg tapping and wing vibration ; GO:0016543 | non-traceable author statement <newline> male courtship behavior, veined wing generated song production ; GO:0045433 | traceable author statement <newline> male mating behavior ; GO:0060179 | inferred from mutant phenotype <newline> copulation ; GO:0007620 | non-traceable author statement <newline> mating behavior ; GO:0007617 | inferred from mutant phenotype <newline> sex determination ; GO:0007530 | traceable author statement <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype <newline> male courtship behavior, veined wing generated song production ; GO:0045433 | inferred from mutant phenotype <newline> male courtship behavior, veined wing extension ; GO:0048065 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001135010 <newline> regulation of imaginal disc-derived wing size ; GO:0044719 | inferred from mutant phenotype <newline> axon midline choice point recognition ; GO:0016199 | inferred from mutant phenotype <newline> central nervous system neuron development ; GO:0021954 | inferred from direct assay <newline> copulation ; GO:0007620 | traceable author statement <newline> male courtship behavior, tapping to detect pheromone ; GO:0016544 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087 <newline> DNA-binding transcription factor activity ; GO:0003700 | non-traceable author statement <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement	fruitless	melanogaster	fru
FBgn0004618	FBgn0004618	CG7672	SO0000010:protein_coding_gene	Current	Drosophila	compound eye photoreceptor cell differentiation ; GO:0001751 | inferred from mutant phenotype <newline> photoreceptor cell differentiation ; GO:0046530 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> ring gland development ; GO:0035271 | inferred from mutant phenotype <newline> entrainment of circadian clock ; GO:0009649 | inferred from mutant phenotype <newline> circadian temperature homeostasis ; GO:0060086 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> entrainment of circadian clock by photoperiod ; GO:0043153 | inferred from mutant phenotype <newline> response to red light ; GO:0010114 | inferred from mutant phenotype <newline> compound eye photoreceptor fate commitment ; GO:0001752 | inferred from mutant phenotype <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> sensory perception of sound ; GO:0007605 | inferred from mutant phenotype	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay <newline> DNA binding ; GO:0003677 | inferred from mutant phenotype	glass	melanogaster	gl
FBgn0001180	FBgn0001180	CG9786	SO0000010:protein_coding_gene	Current	Drosophila	regulation of development, heterochronic ; GO:0040034 | inferred from electronic annotation with InterPro:IPR027742 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay <newline> regulation of neurogenesis ; GO:0050767 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from biological aspect of ancestor with PANTHER:PTN000694458 <newline> generation of neurons ; GO:0048699 | inferred from mutant phenotype <newline> regulation of transcription involved in anterior/posterior axis specification ; GO:0044324 | inferred from mutant phenotype <newline> neuroblast fate determination ; GO:0007400 | inferred from mutant phenotype <newline> zygotic determination of anterior/posterior axis, embryo ; GO:0007354 | traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from expression pattern <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN000694458 <newline> posterior head segmentation ; GO:0035289 | traceable author statement <newline> zygotic determination of anterior/posterior axis, embryo ; GO:0007354 | non-traceable author statement <newline> ventral cord development ; GO:0007419 | non-traceable author statement <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> regulation of neural precursor cell proliferation ; GO:2000177 | inferred from mutant phenotype <newline> trunk segmentation ; GO:0035290 | traceable author statement <newline> salivary gland development ; GO:0007431 | traceable author statement <newline> regulation of development, heterochronic ; GO:0040034 | traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from biological aspect of ancestor with PANTHER:PTN000694458 <newline> neuroblast fate determination ; GO:0007400 | inferred from expression pattern inferred from mutant phenotype <newline> ganglion mother cell fate determination ; GO:0007402 | traceable author statement	sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN000694458 <newline> RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0000978 | inferred from direct assay <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN000694458 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from direct assay	hunchback	melanogaster	hb
FBgn0001185	FBgn0001185	CG4694	SO0000010:protein_coding_gene	Current	Drosophila	sex differentiation ; GO:0007548 | traceable author statement <newline> sex determination ; GO:0007530 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | traceable author statement <newline> sex determination, primary response to X:A ratio ; GO:0007541 | traceable author statement <newline> female somatic sex determination ; GO:0019101 | non-traceable author statement <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | traceable author statement	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087 <newline> DNA binding ; GO:0003677 | traceable author statement	hermaphrodite	melanogaster	her
FBgn0261434	FBgn0261434	CG9768	SO0000010:protein_coding_gene	Current	Drosophila	cell fate specification ; GO:0001708 | traceable author statement <newline> glial cell differentiation ; GO:0010001 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> germ cell migration ; GO:0008354 | traceable author statement <newline> salivary gland morphogenesis ; GO:0007435 | inferred from mutant phenotype inferred from genetic interaction with h <newline> germ cell migration ; GO:0008354 | inferred from mutant phenotype <newline> salivary gland development ; GO:0007431 | traceable author statement <newline> endoderm formation ; GO:0001706 | traceable author statement <newline> neuroblast fate determination ; GO:0007400 | traceable author statement <newline> tube morphogenesis ; GO:0035239 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> central nervous system development ; GO:0007417 | inferred from genetic interaction with eg <newline> posterior midgut invagination ; GO:0007374 | non-traceable author statement <newline> endoderm development ; GO:0007492 | inferred from mutant phenotype <newline> membrane organization ; GO:0061024 | inferred from mutant phenotype <newline> ectoderm and mesoderm interaction ; GO:0007499 | non-traceable author statement	sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with gro	huckebein	melanogaster	hkb
FBgn0027339	FBgn0027339	CG11352	SO0000010:protein_coding_gene	Current	Drosophila	regulation of chromatin silencing ; GO:0031935 | inferred from mutant phenotype <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087	jim	melanogaster	jim
FBgn0035144	FBgn0035144	CG17181	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN001227002 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN001227002	Kahuli	melanogaster	Kah
FBgn0011236	FBgn0011236	CG5575	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> male genitalia development ; GO:0030539 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from biological aspect of ancestor with PANTHER:PTN001905569 <newline> female genitalia development ; GO:0030540 | inferred from mutant phenotype <newline> female analia development ; GO:0045497 | inferred from mutant phenotype <newline> male analia development ; GO:0045496 | inferred from mutant phenotype <newline> multicellular organism development ; GO:0007275 | inferred from biological aspect of ancestor with PANTHER:PTN001905569 <newline> negative regulation of receptor signaling pathway via JAK-STAT ; GO:0046426 | inferred from mutant phenotype	DNA-binding transcription factor activity ; GO:0003700 | inferred from mutant phenotype <newline> DNA binding ; GO:0003677 | inferred from mutant phenotype <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from biological aspect of ancestor with PANTHER:PTN001905569 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN001905569	ken and barbie	melanogaster	ken
FBgn0025679	FBgn0025679	CG2932	SO0000010:protein_coding_gene	Current	Drosophila	response to silver ion ; GO:0010272 | inferred from mutant phenotype <newline> garland nephrocyte differentiation ; GO:0061321 | inferred from mutant phenotype <newline> nephrocyte diaphragm assembly ; GO:0036059 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> pericardial nephrocyte differentiation ; GO:0061320 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from sequence or structural similarity with HGNC:14536	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay	Kruppel-like factor 15	melanogaster	Klf15
FBgn0013469	FBgn0013469	CG12296	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of neuroblast proliferation ; GO:0002052 | inferred from mutant phenotype <newline> R7 cell differentiation ; GO:0045466 | inferred from direct assay <newline> neurogenesis ; GO:0022008 | inferred from mutant phenotype <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:Q9VQ56 <newline> neuronal stem cell population maintenance ; GO:0097150 | inferred from mutant phenotype <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from mutant phenotype inferred from genetic interaction with UniProtKB:P42124 inferred from genetic interaction with UniProtKB:Q26263 inferred from genetic interaction with UniProtKB:Q94517 <newline> sensory organ precursor cell fate determination ; GO:0016360 | inferred from mutant phenotype <newline> neuroblast development ; GO:0014019 | inferred from mutant phenotype <newline> larval feeding behavior ; GO:0030536 | inferred from mutant phenotype <newline> positive regulation of compound eye retinal cell programmed cell death ; GO:0046672 | inferred from mutant phenotype <newline> regulation of stem cell division ; GO:2000035 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay	sequence-specific DNA binding ; GO:0043565 | inferred from mutant phenotype <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> enhancer binding ; GO:0035326 | inferred from direct assay	klumpfuss	melanogaster	klu
FBgn0001325	FBgn0001325	CG3340	SO0000010:protein_coding_gene	Current	Drosophila	compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> ganglion mother cell fate determination ; GO:0007402 | traceable author statement <newline> regulation of neural precursor cell proliferation ; GO:2000177 | inferred from mutant phenotype <newline> axon guidance ; GO:0007411 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> regulation of development, heterochronic ; GO:0040034 | traceable author statement <newline> chromatin silencing ; GO:0006342 | inferred from mutant phenotype <newline> regulation of neurogenesis ; GO:0050767 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay <newline> trunk segmentation ; GO:0035290 | traceable author statement <newline> Malpighian tubule bud morphogenesis ; GO:0061332 | inferred from genetic interaction with ct <newline> neuroblast fate determination ; GO:0007400 | inferred from expression pattern inferred from mutant phenotype <newline> zygotic determination of anterior/posterior axis, embryo ; GO:0007354 | traceable author statement <newline> regulation of development, heterochronic ; GO:0040034 | non-traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | traceable author statement <newline> regulation of hemocyte proliferation ; GO:0035206 | inferred from mutant phenotype <newline> muscle organ development ; GO:0007517 | traceable author statement <newline> Malpighian tubule morphogenesis ; GO:0007443 | traceable author statement <newline> zygotic determination of anterior/posterior axis, embryo ; GO:0007354 | non-traceable author statement <newline> ventral cord development ; GO:0007419 | non-traceable author statement	sequence-specific DNA binding ; GO:0043565 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from direct assay	Kruppel	melanogaster	Kr
FBgn0265276	FBgn0265276	CG6930	SO0000010:protein_coding_gene	Current	Drosophila	regulation of chromatin silencing ; GO:0031935 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001145452	nucleic acid binding ; GO:0003676 | inferred from electronic annotation with InterPro:IPR013087 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001145452	lethal (3) neo38	melanogaster	l(3)neo38
FBgn0039039	FBgn0039039	CG4677	SO0000010:protein_coding_gene	Current	Drosophila	muscle organ development ; GO:0007517 | inferred from mutant phenotype <newline> myoblast fusion ; GO:0007520 | inferred from mutant phenotype <newline> somatic muscle development ; GO:0007525 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> skeletal muscle tissue development ; GO:0007519 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN002715661 <newline> central nervous system development ; GO:0007417 | inferred from biological aspect of ancestor with PANTHER:PTN002500429 <newline> regulation of hormone levels ; GO:0010817 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN002715661	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001803442 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN001803442 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay inferred from mutant phenotype	lame duck	melanogaster	lmd
FBgn0040765	FBgn0040765	CG33473	SO0000010:protein_coding_gene	Current	Drosophila	mitotic sister chromatid segregation ; GO:0000070 | inferred from mutant phenotype <newline> preblastoderm mitotic cell cycle ; GO:0035185 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN001145452	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN001145452 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay	luna	melanogaster	luna
